order_id,created_at,status,currency,total
SO-10087,2026-08-02 07:47,paid,EUR,117.78
SO-10754,2026-08-02 08:06,paid,EUR,175.02
SO-10296,2026-08-02 09:08,paid,EUR,80.68
SO-10476,2026-08-02 09:24,cancelled,EUR,169.91
SO-11130,2026-08-02 09:35,paid,EUR,273.65
SO-11157,2026-08-02 10:23,paid,EUR,419.91
SO-10828,2026-08-02 11:29,paid,EUR,412.61
SO-10383,2026-08-02 11:53,paid,EUR,161.08
SO-10906,2026-08-02 12:25,cancelled,EUR,397.38
SO-11176,2026-08-02 12:53,paid,EUR,303.14
SO-10528,2026-08-02 13:04,cancelled,EUR,90.34
SO-10821,2026-08-02 13:05,paid,EUR,342.16
SO-11076,2026-08-02 13:21,paid,EUR,280.01
SO-10199,2026-08-02 13:52,paid,EUR,386.35
SO-10154,2026-08-02 14:14,paid,EUR,223.07
SO-10266,2026-08-02 14:36,paid,EUR,430.51
SO-10416,2026-08-02 15:05,paid,EUR,377.10
SO-10237,2026-08-02 17:07,refunded,EUR,436.95
SO-11021,2026-08-02 18:48,refunded,EUR,77.97
SO-10779,2026-08-02 20:12,paid,EUR,145.58
SO-10036,2026-08-02 20:59,paid,EUR,342.67
SO-10796,2026-08-02 22:42,paid,EUR,151.80
SO-10654,2026-08-02 22:53,paid,EUR,442.45
SO-11150,2026-08-03 00:15,paid,EUR,193.07
SO-10370,2026-08-03 00:17,paid,EUR,71.27
SO-10282,2026-08-03 01:10,refunded,EUR,293.32
SO-10938,2026-08-03 01:32,cancelled,EUR,213.10
SO-11102,2026-08-03 02:35,paid,EUR,303.15
SO-10567,2026-08-03 04:04,paid,EUR,361.47
SO-10659,2026-08-03 04:21,paid,EUR,276.69
SO-10884,2026-08-03 05:25,paid,EUR,207.26
SO-10032,2026-08-03 05:55,cancelled,EUR,374.46
SO-10026,2026-08-03 06:43,paid,EUR,346.79
SO-10073,2026-08-03 07:36,paid,EUR,393.22
SO-10739,2026-08-03 09:29,paid,EUR,383.71
SO-10735,2026-08-03 09:51,paid,EUR,51.44
SO-10482,2026-08-03 12:37,cancelled,EUR,361.24
SO-10484,2026-08-03 14:01,paid,EUR,342.99
SO-10949,2026-08-03 14:06,paid,EUR,462.44
SO-10677,2026-08-03 14:27,cancelled,EUR,104.60
SO-10197,2026-08-03 14:34,paid,EUR,353.52
SO-10161,2026-08-03 17:35,refunded,EUR,213.63
SO-10406,2026-08-03 17:38,refunded,EUR,424.05
SO-11002,2026-08-03 18:11,paid,EUR,199.99
SO-10443,2026-08-03 18:13,paid,EUR,154.09
SO-10174,2026-08-03 18:29,refunded,EUR,340.07
SO-11090,2026-08-03 20:15,refunded,EUR,191.89
SO-10817,2026-08-03 20:37,refunded,EUR,186.53
SO-11019,2026-08-03 20:44,paid,EUR,63.94
SO-10589,2026-08-03 21:20,paid,EUR,288.44
SO-10094,2026-08-03 21:44,paid,EUR,390.30
SO-10361,2026-08-03 21:54,paid,EUR,456.54
SO-10339,2026-08-03 22:09,paid,EUR,162.90
SO-10078,2026-08-03 22:11,paid,EUR,351.78
SO-10623,2026-08-03 22:37,paid,EUR,58.73
SO-10886,2026-08-03 22:39,paid,EUR,427.04
SO-10013,2026-08-03 23:56,cancelled,EUR,80.61
SO-11001,2026-08-04 02:34,paid,EUR,170.87
SO-10238,2026-08-04 03:25,paid,EUR,373.50
SO-10200,2026-08-04 03:53,cancelled,EUR,341.96
SO-10279,2026-08-04 04:09,cancelled,EUR,353.50
SO-10697,2026-08-04 04:41,paid,EUR,202.10
SO-10233,2026-08-04 04:54,cancelled,EUR,221.34
SO-10702,2026-08-04 05:46,paid,EUR,287.97
SO-11062,2026-08-04 05:56,refunded,EUR,177.48
SO-10100,2026-08-04 06:17,cancelled,EUR,50.39
SO-10299,2026-08-04 06:34,refunded,EUR,427.39
SO-10315,2026-08-04 06:38,paid,EUR,195.21
SO-10473,2026-08-04 06:51,paid,EUR,265.71
SO-10364,2026-08-04 07:04,cancelled,EUR,204.42
SO-10250,2026-08-04 07:21,cancelled,EUR,114.73
SO-10213,2026-08-04 07:33,paid,EUR,395.40
SO-10665,2026-08-04 07:44,cancelled,EUR,208.25
SO-10186,2026-08-04 09:58,cancelled,EUR,293.85
SO-10019,2026-08-04 10:15,cancelled,EUR,360.47
SO-10867,2026-08-04 12:04,cancelled,EUR,193.14
SO-10033,2026-08-04 12:33,paid,EUR,333.84
SO-11192,2026-08-04 12:42,paid,EUR,102.72
SO-10904,2026-08-04 14:22,paid,EUR,450.73
SO-10128,2026-08-04 15:08,paid,EUR,91.62
SO-11035,2026-08-04 15:21,cancelled,EUR,156.02
SO-11017,2026-08-04 15:43,paid,EUR,255.45
SO-10752,2026-08-04 15:52,paid,EUR,400.32
SO-11053,2026-08-04 17:05,paid,EUR,296.75
SO-10720,2026-08-04 17:11,paid,EUR,307.35
SO-11106,2026-08-04 17:27,paid,EUR,441.89
SO-10182,2026-08-04 17:41,paid,EUR,182.83
SO-10098,2026-08-04 17:42,paid,EUR,75.43
SO-10548,2026-08-04 18:11,paid,EUR,188.34
SO-10027,2026-08-04 18:14,paid,EUR,67.80
SO-11072,2026-08-04 18:16,paid,EUR,22.50
SO-10423,2026-08-04 18:22,paid,EUR,121.85
SO-10980,2026-08-04 18:55,paid,EUR,419.40
SO-11047,2026-08-04 19:00,paid,EUR,19.40
SO-10609,2026-08-04 19:38,paid,EUR,203.08
SO-10255,2026-08-04 20:07,paid,EUR,182.59
SO-10829,2026-08-04 22:01,refunded,EUR,221.52
SO-10343,2026-08-04 22:56,refunded,EUR,369.80
SO-10852,2026-08-04 23:17,cancelled,EUR,440.28
SO-10397,2026-08-04 23:41,paid,EUR,296.16
SO-10059,2026-08-04 23:47,cancelled,EUR,272.15
SO-11198,2026-08-05 01:30,cancelled,EUR,137.18
SO-10111,2026-08-05 01:33,paid,EUR,464.46
SO-10253,2026-08-05 02:10,paid,EUR,236.25
SO-10142,2026-08-05 04:34,paid,EUR,24.91
SO-10715,2026-08-05 04:54,cancelled,EUR,161.78
SO-10537,2026-08-05 05:30,paid,EUR,204.72
SO-10491,2026-08-05 06:04,paid,EUR,75.82
SO-10248,2026-08-05 06:50,cancelled,EUR,265.75
SO-10698,2026-08-05 08:15,paid,EUR,459.44
SO-10145,2026-08-05 08:20,paid,EUR,392.21
SO-10816,2026-08-05 08:45,refunded,EUR,64.47
SO-10285,2026-08-05 10:59,paid,EUR,331.04
SO-10459,2026-08-05 11:22,paid,EUR,410.84
SO-10742,2026-08-05 12:34,paid,EUR,80.19
SO-10105,2026-08-05 13:49,paid,EUR,252.91
SO-10125,2026-08-05 13:49,refunded,EUR,75.00
SO-10834,2026-08-05 13:50,paid,EUR,216.95
SO-10892,2026-08-05 14:01,paid,EUR,142.74
SO-11164,2026-08-05 15:00,paid,EUR,126.47
SO-10917,2026-08-05 15:12,paid,EUR,223.39
SO-10184,2026-08-05 15:50,paid,EUR,282.03
SO-11098,2026-08-05 16:06,paid,EUR,123.95
SO-10731,2026-08-05 16:50,paid,EUR,229.09
SO-10558,2026-08-05 17:18,paid,EUR,166.72
SO-10222,2026-08-05 18:07,cancelled,EUR,333.98
SO-10782,2026-08-05 21:01,paid,EUR,207.78
SO-10099,2026-08-05 22:11,cancelled,EUR,279.25
SO-10556,2026-08-05 22:23,refunded,EUR,255.75
SO-11156,2026-08-05 22:38,paid,EUR,130.96
SO-10133,2026-08-05 22:50,paid,EUR,364.93
SO-11129,2026-08-05 23:33,paid,EUR,173.18
SO-10674,2026-08-06 00:26,paid,EUR,108.51
SO-11123,2026-08-06 00:33,paid,EUR,113.87
SO-11014,2026-08-06 00:52,cancelled,EUR,76.82
SO-10593,2026-08-06 05:34,paid,EUR,273.44
SO-11048,2026-08-06 05:54,paid,EUR,124.94
SO-11060,2026-08-06 06:37,cancelled,EUR,166.72
SO-10193,2026-08-06 06:45,paid,EUR,345.60
SO-10264,2026-08-06 06:55,paid,EUR,407.54
SO-10993,2026-08-06 07:05,cancelled,EUR,295.61
SO-10011,2026-08-06 08:24,paid,EUR,249.62
SO-10284,2026-08-06 08:54,paid,EUR,414.60
SO-10469,2026-08-06 09:17,paid,EUR,183.16
SO-10578,2026-08-06 09:37,paid,EUR,376.47
SO-10962,2026-08-06 10:52,paid,EUR,197.21
SO-10263,2026-08-06 11:10,paid,EUR,426.53
SO-10927,2026-08-06 11:45,paid,EUR,284.00
SO-10394,2026-08-06 11:56,paid,EUR,110.45
SO-10417,2026-08-06 12:29,cancelled,EUR,136.01
SO-11191,2026-08-06 13:42,paid,EUR,189.70
SO-10124,2026-08-06 13:44,paid,EUR,36.93
SO-10982,2026-08-06 14:00,paid,EUR,341.89
SO-10741,2026-08-06 14:14,paid,EUR,189.18
SO-11059,2026-08-06 14:44,refunded,EUR,81.32
SO-10839,2026-08-06 14:48,paid,EUR,71.81
SO-10044,2026-08-06 14:59,cancelled,EUR,112.17
SO-10880,2026-08-06 15:14,paid,EUR,381.94
SO-10776,2026-08-06 17:19,paid,EUR,314.90
SO-10753,2026-08-06 18:42,paid,EUR,159.26
SO-10538,2026-08-06 20:27,refunded,EUR,157.60
SO-11180,2026-08-06 20:30,paid,EUR,437.61
SO-10705,2026-08-06 20:57,paid,EUR,265.29
SO-10350,2026-08-06 21:32,cancelled,EUR,203.42
SO-10586,2026-08-06 21:47,paid,EUR,46.42
SO-10727,2026-08-07 00:55,paid,EUR,37.48
SO-10381,2026-08-07 01:07,paid,EUR,146.22
SO-10227,2026-08-07 02:09,paid,EUR,196.18
SO-10292,2026-08-07 02:26,paid,EUR,230.23
SO-10812,2026-08-07 02:30,paid,EUR,208.41
SO-10209,2026-08-07 02:59,paid,EUR,209.52
SO-10643,2026-08-07 04:06,paid,EUR,167.20
SO-10605,2026-08-07 04:16,paid,EUR,418.78
SO-11113,2026-08-07 04:24,refunded,EUR,187.16
SO-10587,2026-08-07 04:46,paid,EUR,182.68
SO-10257,2026-08-07 05:14,paid,EUR,61.34
SO-10293,2026-08-07 05:53,paid,EUR,71.35
SO-10089,2026-08-07 06:00,paid,EUR,106.33
SO-10916,2026-08-07 07:16,paid,EUR,201.39
SO-10169,2026-08-07 08:21,refunded,EUR,380.51
SO-10831,2026-08-07 08:31,paid,EUR,169.95
SO-11132,2026-08-07 08:49,paid,EUR,349.47
SO-10353,2026-08-07 09:36,paid,EUR,374.58
SO-11111,2026-08-07 09:51,paid,EUR,183.10
SO-10052,2026-08-07 12:31,paid,EUR,155.44
SO-11131,2026-08-07 13:38,paid,EUR,314.38
SO-10123,2026-08-07 14:15,refunded,EUR,311.03
SO-10770,2026-08-07 15:05,refunded,EUR,134.24
SO-11189,2026-08-07 16:20,paid,EUR,147.71
SO-10221,2026-08-07 16:31,paid,EUR,234.12
SO-10272,2026-08-07 16:55,paid,EUR,92.16
SO-10820,2026-08-07 18:50,paid,EUR,78.26
SO-10501,2026-08-07 18:51,paid,EUR,155.16
SO-10035,2026-08-07 18:58,cancelled,EUR,331.54
SO-10899,2026-08-07 19:11,cancelled,EUR,119.21
SO-10375,2026-08-07 19:19,paid,EUR,102.88
SO-10056,2026-08-07 19:51,paid,EUR,251.01
SO-10611,2026-08-07 19:52,paid,EUR,296.85
SO-11026,2026-08-07 20:12,paid,EUR,91.09
SO-10076,2026-08-07 20:23,refunded,EUR,271.25
SO-10598,2026-08-07 21:06,paid,EUR,49.88
SO-10877,2026-08-07 21:34,paid,EUR,42.24
SO-10241,2026-08-07 22:55,paid,EUR,35.55
SO-11008,2026-08-07 23:27,refunded,EUR,62.60
SO-10958,2026-08-08 01:43,refunded,EUR,323.84
SO-10157,2026-08-08 01:52,paid,EUR,254.90
SO-10436,2026-08-08 02:14,paid,EUR,264.52
SO-10294,2026-08-08 02:27,paid,EUR,415.59
SO-11144,2026-08-08 03:44,paid,EUR,189.94
SO-10151,2026-08-08 06:11,paid,EUR,87.01
SO-10920,2026-08-08 06:22,paid,EUR,409.66
SO-10688,2026-08-08 08:01,cancelled,EUR,284.58
SO-10907,2026-08-08 08:20,paid,EUR,165.42
SO-10550,2026-08-08 09:37,paid,EUR,121.21
SO-10646,2026-08-08 10:15,refunded,EUR,42.49
SO-10614,2026-08-08 10:52,paid,EUR,328.66
SO-10430,2026-08-08 10:58,paid,EUR,69.71
SO-10426,2026-08-08 11:30,refunded,EUR,23.47
SO-10557,2026-08-08 12:40,cancelled,EUR,171.37
SO-10837,2026-08-08 12:54,refunded,EUR,342.49
SO-10552,2026-08-08 13:41,paid,EUR,21.67
SO-10747,2026-08-08 14:14,paid,EUR,345.25
SO-10435,2026-08-08 14:22,paid,EUR,300.97
SO-10726,2026-08-08 14:26,refunded,EUR,169.13
SO-10425,2026-08-08 15:00,paid,EUR,421.90
SO-10641,2026-08-08 16:40,paid,EUR,450.80
SO-10932,2026-08-08 17:05,paid,EUR,92.70
SO-10367,2026-08-08 17:11,refunded,EUR,142.37
SO-10172,2026-08-08 17:33,paid,EUR,311.13
SO-11049,2026-08-08 17:38,cancelled,EUR,168.06
SO-10775,2026-08-08 17:53,paid,EUR,373.59
SO-10513,2026-08-08 18:17,paid,EUR,260.30
SO-11003,2026-08-08 18:23,paid,EUR,310.93
SO-11054,2026-08-08 18:28,refunded,EUR,317.75
SO-11029,2026-08-08 18:46,cancelled,EUR,37.57
SO-10225,2026-08-08 19:15,paid,EUR,359.31
SO-10718,2026-08-08 19:50,paid,EUR,167.61
SO-10683,2026-08-08 20:04,paid,EUR,459.40
SO-10575,2026-08-08 20:19,refunded,EUR,69.39
SO-10230,2026-08-08 21:00,cancelled,EUR,322.14
SO-10275,2026-08-08 21:55,paid,EUR,328.39
SO-10448,2026-08-08 21:56,paid,EUR,252.90
SO-10634,2026-08-09 00:31,paid,EUR,277.73
SO-10699,2026-08-09 00:40,paid,EUR,164.41
SO-10304,2026-08-09 01:15,paid,EUR,140.56
SO-10412,2026-08-09 01:46,cancelled,EUR,82.56
SO-10043,2026-08-09 02:55,paid,EUR,56.17
SO-10963,2026-08-09 03:09,paid,EUR,381.22
SO-10940,2026-08-09 03:47,paid,EUR,356.56
SO-10046,2026-08-09 05:49,paid,EUR,464.01
SO-10107,2026-08-09 06:31,cancelled,EUR,193.18
SO-10358,2026-08-09 06:42,paid,EUR,471.50
SO-10824,2026-08-09 07:33,paid,EUR,366.74
SO-10638,2026-08-09 08:35,refunded,EUR,282.69
SO-10523,2026-08-09 08:45,paid,EUR,59.92
SO-10657,2026-08-09 09:33,refunded,EUR,14.31
SO-10952,2026-08-09 10:22,refunded,EUR,203.20
SO-10602,2026-08-09 10:56,paid,EUR,63.66
SO-11039,2026-08-09 11:15,paid,EUR,123.90
SO-11172,2026-08-09 11:17,paid,EUR,120.92
SO-11033,2026-08-09 12:00,paid,EUR,169.95
SO-10030,2026-08-09 14:01,paid,EUR,366.00
SO-11006,2026-08-09 15:18,paid,EUR,58.33
SO-10179,2026-08-09 16:22,paid,EUR,324.85
SO-10948,2026-08-09 17:12,paid,EUR,37.56
SO-10316,2026-08-09 17:15,paid,EUR,447.05
SO-10925,2026-08-09 17:21,paid,EUR,352.88
SO-10713,2026-08-09 19:15,paid,EUR,374.61
SO-10595,2026-08-09 19:23,refunded,EUR,176.65
SO-10420,2026-08-09 21:05,paid,EUR,108.83
SO-10344,2026-08-09 21:21,paid,EUR,474.97
SO-10744,2026-08-09 21:32,paid,EUR,107.26
SO-10986,2026-08-09 22:11,paid,EUR,146.46
SO-10582,2026-08-09 22:34,refunded,EUR,78.42
SO-10393,2026-08-09 22:35,paid,EUR,419.36
SO-10008,2026-08-10 00:52,paid,EUR,310.07
SO-10318,2026-08-10 01:00,paid,EUR,234.46
SO-10162,2026-08-10 01:03,paid,EUR,56.56
SO-10955,2026-08-10 01:40,paid,EUR,185.17
SO-10256,2026-08-10 01:55,cancelled,EUR,322.73
SO-10784,2026-08-10 01:58,paid,EUR,205.09
SO-10668,2026-08-10 02:36,paid,EUR,299.31
SO-10983,2026-08-10 03:23,paid,EUR,79.86
SO-10922,2026-08-10 04:17,cancelled,EUR,420.57
SO-11036,2026-08-10 05:37,paid,EUR,179.13
SO-10869,2026-08-10 06:26,paid,EUR,394.38
SO-10232,2026-08-10 06:57,paid,EUR,101.11
SO-11046,2026-08-10 08:42,paid,EUR,414.31
SO-10714,2026-08-10 09:24,paid,EUR,467.29
SO-11037,2026-08-10 10:16,refunded,EUR,302.84
SO-10276,2026-08-10 10:25,paid,EUR,223.35
SO-10077,2026-08-10 10:27,paid,EUR,419.58
SO-10790,2026-08-10 11:12,paid,EUR,218.18
SO-10997,2026-08-10 11:25,paid,EUR,67.32
SO-10750,2026-08-10 12:24,refunded,EUR,154.63
SO-10522,2026-08-10 12:38,cancelled,EUR,198.18
SO-10483,2026-08-10 12:50,paid,EUR,22.82
SO-10562,2026-08-10 13:17,paid,EUR,54.33
SO-10421,2026-08-10 13:57,refunded,EUR,87.86
SO-10324,2026-08-10 14:40,paid,EUR,176.99
SO-10168,2026-08-10 14:49,paid,EUR,136.75
SO-11188,2026-08-10 14:54,paid,EUR,280.09
SO-10901,2026-08-10 15:40,paid,EUR,193.45
SO-10574,2026-08-10 16:13,cancelled,EUR,237.14
SO-10924,2026-08-10 16:36,paid,EUR,147.78
SO-10694,2026-08-10 17:28,paid,EUR,253.67
SO-11074,2026-08-10 17:56,cancelled,EUR,198.12
SO-10194,2026-08-10 17:58,paid,EUR,353.01
SO-10326,2026-08-10 18:01,paid,EUR,286.97
SO-11045,2026-08-10 18:17,paid,EUR,462.06
SO-10088,2026-08-10 18:28,paid,EUR,419.24
SO-10439,2026-08-10 20:57,paid,EUR,99.24
SO-10756,2026-08-10 21:45,paid,EUR,44.29
SO-10004,2026-08-10 21:50,paid,EUR,38.37
SO-11127,2026-08-10 21:50,paid,EUR,327.39
SO-11028,2026-08-10 21:56,cancelled,EUR,199.12
SO-10498,2026-08-10 22:08,refunded,EUR,377.38
SO-11020,2026-08-10 22:09,paid,EUR,315.34
SO-10031,2026-08-10 23:38,paid,EUR,173.10
SO-10794,2026-08-11 00:42,paid,EUR,393.81
SO-10633,2026-08-11 01:27,refunded,EUR,103.44
SO-11066,2026-08-11 01:31,cancelled,EUR,227.52
SO-10863,2026-08-11 02:46,refunded,EUR,471.10
SO-10022,2026-08-11 03:10,cancelled,EUR,410.23
SO-10431,2026-08-11 04:19,paid,EUR,307.23
SO-10217,2026-08-11 04:26,paid,EUR,430.81
SO-10599,2026-08-11 04:48,refunded,EUR,440.85
SO-10785,2026-08-11 04:50,paid,EUR,175.83
SO-10592,2026-08-11 05:10,paid,EUR,28.07
SO-10712,2026-08-11 05:14,paid,EUR,194.57
SO-10202,2026-08-11 05:40,refunded,EUR,200.35
SO-10604,2026-08-11 05:41,paid,EUR,218.10
SO-10366,2026-08-11 06:03,paid,EUR,50.63
SO-10047,2026-08-11 06:19,refunded,EUR,204.70
SO-10071,2026-08-11 06:20,paid,EUR,202.52
SO-10732,2026-08-11 07:01,cancelled,EUR,474.99
SO-10468,2026-08-11 07:04,cancelled,EUR,439.35
SO-11147,2026-08-11 07:13,paid,EUR,201.56
SO-10351,2026-08-11 07:29,paid,EUR,390.12
SO-10994,2026-08-11 09:02,paid,EUR,49.99
SO-11009,2026-08-11 09:08,paid,EUR,270.19
SO-10636,2026-08-11 09:34,paid,EUR,226.44
SO-10910,2026-08-11 10:31,paid,EUR,350.87
SO-10766,2026-08-11 10:54,paid,EUR,363.33
SO-10083,2026-08-11 11:00,paid,EUR,163.25
SO-10740,2026-08-11 11:06,paid,EUR,272.62
SO-10974,2026-08-11 11:56,paid,EUR,223.40
SO-11107,2026-08-11 12:05,paid,EUR,157.96
SO-10979,2026-08-11 12:30,cancelled,EUR,344.85
SO-10246,2026-08-11 12:36,paid,EUR,298.50
SO-10432,2026-08-11 13:56,paid,EUR,254.24
SO-11032,2026-08-11 14:07,paid,EUR,59.27
SO-10269,2026-08-11 16:37,paid,EUR,94.98
SO-10041,2026-08-11 16:51,paid,EUR,174.16
SO-10968,2026-08-11 17:10,cancelled,EUR,62.32
SO-10390,2026-08-11 17:44,cancelled,EUR,379.25
SO-10074,2026-08-11 18:36,paid,EUR,35.61
SO-10242,2026-08-11 18:59,paid,EUR,114.48
SO-11159,2026-08-11 19:08,paid,EUR,59.71
SO-10413,2026-08-11 20:13,paid,EUR,51.07
SO-10805,2026-08-11 20:48,refunded,EUR,338.24
SO-10678,2026-08-11 21:38,paid,EUR,316.10
SO-10147,2026-08-11 23:03,paid,EUR,214.22
SO-10729,2026-08-12 00:04,paid,EUR,247.81
SO-10244,2026-08-12 01:05,paid,EUR,153.52
SO-10049,2026-08-12 02:46,paid,EUR,24.96
SO-10247,2026-08-12 04:00,paid,EUR,298.44
SO-10387,2026-08-12 06:29,paid,EUR,372.42
SO-10461,2026-08-12 06:37,paid,EUR,473.97
SO-10566,2026-08-12 06:54,cancelled,EUR,120.33
SO-10135,2026-08-12 07:32,paid,EUR,103.99
SO-10277,2026-08-12 07:58,paid,EUR,304.47
SO-11077,2026-08-12 08:36,paid,EUR,365.66
SO-11114,2026-08-12 08:36,paid,EUR,382.10
SO-10881,2026-08-12 09:29,paid,EUR,126.52
SO-10897,2026-08-12 09:53,paid,EUR,76.21
SO-10280,2026-08-12 10:23,paid,EUR,41.78
SO-11079,2026-08-12 10:40,paid,EUR,478.96
SO-11125,2026-08-12 11:21,paid,EUR,315.77
SO-10002,2026-08-12 13:30,paid,EUR,107.34
SO-10148,2026-08-12 13:33,paid,EUR,378.37
SO-10879,2026-08-12 14:10,paid,EUR,338.62
SO-10310,2026-08-12 14:46,paid,EUR,52.81
SO-10212,2026-08-12 15:38,refunded,EUR,285.94
SO-10626,2026-08-12 16:14,paid,EUR,241.71
SO-10372,2026-08-12 16:36,paid,EUR,440.20
SO-10826,2026-08-12 16:48,paid,EUR,325.84
SO-10017,2026-08-12 19:34,paid,EUR,300.93
SO-10281,2026-08-12 20:21,cancelled,EUR,132.39
SO-10178,2026-08-12 20:25,refunded,EUR,302.00
SO-10801,2026-08-12 21:04,cancelled,EUR,214.78
SO-10651,2026-08-12 21:15,paid,EUR,395.07
SO-11116,2026-08-12 21:17,paid,EUR,431.77
SO-10759,2026-08-12 21:19,paid,EUR,187.45
SO-11185,2026-08-12 22:32,cancelled,EUR,411.47
SO-10912,2026-08-12 22:36,paid,EUR,62.42
SO-10354,2026-08-12 23:33,paid,EUR,184.91
SO-10868,2026-08-12 23:48,refunded,EUR,150.38
SO-10496,2026-08-13 00:11,paid,EUR,293.75
SO-10540,2026-08-13 00:42,paid,EUR,219.29
SO-10307,2026-08-13 01:30,paid,EUR,431.58
SO-10544,2026-08-13 01:31,paid,EUR,180.28
SO-10395,2026-08-13 01:41,paid,EUR,202.60
SO-10534,2026-08-13 02:34,paid,EUR,235.26
SO-10398,2026-08-13 03:44,paid,EUR,226.95
SO-10252,2026-08-13 05:11,cancelled,EUR,173.55
SO-10338,2026-08-13 06:14,paid,EUR,347.01
SO-10215,2026-08-13 06:48,paid,EUR,115.58
SO-10860,2026-08-13 07:40,paid,EUR,85.78
SO-11087,2026-08-13 07:58,cancelled,EUR,456.55
SO-11031,2026-08-13 08:31,cancelled,EUR,352.14
SO-10055,2026-08-13 09:14,refunded,EUR,299.81
SO-10571,2026-08-13 11:04,paid,EUR,360.04
SO-10053,2026-08-13 12:01,paid,EUR,235.91
SO-10110,2026-08-13 13:17,paid,EUR,300.21
SO-10695,2026-08-13 13:57,cancelled,EUR,273.51
SO-10069,2026-08-13 14:27,paid,EUR,220.53
SO-10081,2026-08-13 15:02,paid,EUR,369.39
SO-11162,2026-08-13 15:05,paid,EUR,386.47
SO-11196,2026-08-13 15:26,refunded,EUR,183.39
SO-10206,2026-08-13 15:39,cancelled,EUR,338.37
SO-10378,2026-08-13 15:59,paid,EUR,326.86
SO-11095,2026-08-13 16:44,refunded,EUR,39.79
SO-10645,2026-08-13 17:01,paid,EUR,188.95
SO-10830,2026-08-13 17:17,refunded,EUR,188.31
SO-10848,2026-08-13 17:18,cancelled,EUR,251.97
SO-10737,2026-08-13 17:24,paid,EUR,75.42
SO-10028,2026-08-13 17:35,paid,EUR,228.81
SO-10508,2026-08-13 18:40,paid,EUR,328.52
SO-10675,2026-08-13 18:46,paid,EUR,207.19
SO-10524,2026-08-13 19:08,paid,EUR,454.34
SO-11177,2026-08-13 19:20,paid,EUR,138.35
SO-10655,2026-08-13 20:55,refunded,EUR,68.14
SO-10471,2026-08-13 21:24,paid,EUR,351.68
SO-10129,2026-08-13 21:28,paid,EUR,162.53
SO-10555,2026-08-13 21:29,paid,EUR,306.08
SO-11038,2026-08-13 21:33,cancelled,EUR,106.22
SO-10631,2026-08-13 22:51,paid,EUR,143.70
SO-10603,2026-08-13 23:15,paid,EUR,257.25
SO-11089,2026-08-13 23:16,paid,EUR,338.34
SO-10600,2026-08-13 23:40,paid,EUR,232.75
SO-10943,2026-08-14 00:12,refunded,EUR,399.42
SO-10691,2026-08-14 00:57,cancelled,EUR,406.00
SO-10525,2026-08-14 02:38,paid,EUR,422.30
SO-11044,2026-08-14 03:02,paid,EUR,82.43
SO-10259,2026-08-14 04:00,paid,EUR,230.12
SO-10942,2026-08-14 05:28,paid,EUR,347.62
SO-11025,2026-08-14 06:21,paid,EUR,78.82
SO-10210,2026-08-14 07:33,paid,EUR,316.51
SO-10981,2026-08-14 07:35,paid,EUR,424.14
SO-10746,2026-08-14 07:39,cancelled,EUR,280.37
