payment_id,order_id,paid_at,currency,amount,fee
PY-700075,SO-11019,2026-08-03 20:45,EUR,63.94,1.15
PY-700073,SO-11090,2026-08-03 20:49,EUR,191.89,2.94
PY-700074,SO-10817,2026-08-03 21:09,EUR,186.53,2.86
PY-700076,SO-10589,2026-08-03 21:54,EUR,288.44,4.29
PY-700078,SO-10361,2026-08-03 22:09,EUR,456.54,6.64
PY-700077,SO-10094,2026-08-03 22:15,EUR,390.30,5.71
PY-700079,SO-10339,2026-08-03 22:20,EUR,162.90,2.53
PY-700080,SO-10078,2026-08-03 22:42,EUR,351.78,5.17
PY-700081,SO-10623,2026-08-03 22:55,EUR,58.73,1.07
PY-700082,SO-10886,2026-08-03 23:00,EUR,427.04,6.23
PY-700083,SO-11001,2026-08-04 03:14,EUR,170.87,2.64
PY-700084,SO-10238,2026-08-04 03:45,EUR,373.50,5.48
PY-700085,SO-10697,2026-08-04 04:56,EUR,202.10,3.08
PY-700086,SO-10702,2026-08-04 05:51,EUR,287.97,4.28
PY-700087,SO-11062,2026-08-04 06:01,EUR,177.48,2.73
PY-700088,SO-10299,2026-08-04 06:42,EUR,427.39,6.23
PY-700089,SO-10315,2026-08-04 07:11,EUR,195.21,2.98
PY-700090,SO-10473,2026-08-04 07:30,EUR,265.71,3.97
PY-700091,SO-10213,2026-08-04 08:01,EUR,395.40,5.79
PY-700093,SO-11192,2026-08-04 12:55,EUR,102.72,1.69
PY-700092,SO-10033,2026-08-04 13:03,EUR,333.84,4.92
PY-700094,SO-10904,2026-08-04 14:57,EUR,450.73,6.56
PY-700095,SO-10128,2026-08-04 15:26,EUR,91.62,1.53
PY-700096,SO-11017,2026-08-04 16:04,EUR,255.45,3.83
PY-700097,SO-10752,2026-08-04 16:31,EUR,400.32,5.85
PY-700098,SO-11053,2026-08-04 17:29,EUR,296.75,4.40
PY-700100,SO-11106,2026-08-04 17:32,EUR,441.89,6.44
PY-700099,SO-10720,2026-08-04 17:49,EUR,307.35,4.55
PY-700102,SO-10098,2026-08-04 17:56,EUR,75.43,1.31
PY-700101,SO-10182,2026-08-04 18:05,EUR,182.83,2.81
PY-700103,SO-10548,2026-08-04 18:18,EUR,188.34,2.89
PY-700105,SO-11072,2026-08-04 18:22,EUR,22.50,0.57
PY-700104,SO-10027,2026-08-04 18:34,EUR,67.80,1.20
PY-700106,SO-10423,2026-08-04 18:41,EUR,121.85,1.96
PY-700108,SO-11047,2026-08-04 19:04,EUR,19.40,0.52
PY-700107,SO-10980,2026-08-04 19:21,EUR,419.40,6.12
PY-700109,SO-10609,2026-08-04 20:15,EUR,203.08,3.09
PY-700110,SO-10255,2026-08-04 20:16,EUR,182.59,2.81
PY-700111,SO-10829,2026-08-04 22:25,EUR,221.52,3.35
PY-700112,SO-10343,2026-08-04 23:16,EUR,369.80,5.43
PY-700113,SO-10397,2026-08-05 00:17,EUR,296.16,4.40
PY-700114,SO-10111,2026-08-05 01:56,EUR,464.46,6.75
PY-700115,SO-10253,2026-08-05 02:30,EUR,236.25,3.56
PY-700116,SO-10142,2026-08-05 05:12,EUR,24.91,0.60
PY-700117,SO-10537,2026-08-05 05:48,EUR,204.72,3.12
PY-700118,SO-10491,2026-08-05 06:10,EUR,75.82,1.31
PY-700119,SO-10698,2026-08-05 08:22,EUR,459.44,6.68
PY-700120,SO-10145,2026-08-05 08:41,EUR,392.21,5.74
PY-700121,SO-10816,2026-08-05 09:07,EUR,64.47,1.15
PY-700122,SO-10285,2026-08-05 11:06,EUR,331.04,4.88
PY-700123,SO-10459,2026-08-05 11:37,EUR,410.84,6.00
PY-700124,SO-10742,2026-08-05 12:46,EUR,80.19,1.37
PY-700125,SO-10105,2026-08-05 14:25,EUR,252.91,3.79
PY-700126,SO-10125,2026-08-05 14:28,EUR,75.00,1.30
PY-700127,SO-10834,2026-08-05 14:30,EUR,216.95,3.29
PY-700128,SO-10892,2026-08-05 14:36,EUR,142.74,2.25
PY-700130,SO-10917,2026-08-05 15:21,EUR,223.39,3.38
PY-700129,SO-11164,2026-08-05 15:36,EUR,126.47,2.02
PY-700131,SO-10184,2026-08-05 16:13,EUR,282.03,4.20
PY-700132,SO-11098,2026-08-05 16:31,EUR,123.95,1.99
PY-700133,SO-10731,2026-08-05 16:55,EUR,229.09,3.46
PY-700134,SO-10558,2026-08-05 17:21,EUR,166.72,2.58
PY-700135,SO-10782,2026-08-05 21:32,EUR,207.78,3.16
PY-700136,SO-10556,2026-08-05 22:43,EUR,255.75,3.83
PY-700138,SO-10133,2026-08-05 23:16,EUR,364.93,5.36
PY-700137,SO-11156,2026-08-05 23:17,EUR,130.96,2.08
PY-700139,SO-11129,2026-08-05 23:42,EUR,173.18,2.67
PY-700140,SO-10674,2026-08-06 00:54,EUR,108.51,1.77
PY-700141,SO-11123,2026-08-06 01:04,EUR,113.87,1.84
PY-700142,SO-10593,2026-08-06 05:58,EUR,273.44,4.08
PY-700143,SO-11048,2026-08-06 06:24,EUR,124.94,2.00
PY-700144,SO-10193,2026-08-06 06:50,EUR,345.60,5.09
PY-700145,SO-10264,2026-08-06 07:33,EUR,407.54,5.96
PY-700146,SO-10011,2026-08-06 08:36,EUR,249.62,3.74
PY-700148,SO-10469,2026-08-06 09:23,EUR,183.16,2.81
PY-700147,SO-10284,2026-08-06 09:32,EUR,414.60,6.05
PY-700149,SO-10578,2026-08-06 09:46,EUR,376.47,5.52
PY-700150,SO-10962,2026-08-06 11:11,EUR,197.21,3.01
PY-700151,SO-10263,2026-08-06 11:43,EUR,426.53,6.22
PY-700153,SO-10394,2026-08-06 12:24,EUR,110.45,1.80
PY-700155,SO-10124,2026-08-06 13:55,EUR,36.93,0.77
PY-700154,SO-11191,2026-08-06 13:59,EUR,189.70,2.91
PY-700157,SO-10741,2026-08-06 14:22,EUR,189.18,2.90
PY-700156,SO-10982,2026-08-06 14:30,EUR,341.89,5.04
PY-700159,SO-10839,2026-08-06 15:00,EUR,71.81,1.26
PY-700158,SO-11059,2026-08-06 15:10,EUR,81.32,1.39
PY-700160,SO-10880,2026-08-06 15:44,EUR,381.94,5.60
PY-700161,SO-10776,2026-08-06 17:31,EUR,314.90,4.66
PY-700162,SO-10753,2026-08-06 18:55,EUR,159.26,2.48
PY-700163,SO-10538,2026-08-06 20:43,EUR,157.60,2.46
PY-700164,SO-11180,2026-08-06 20:50,EUR,437.61,6.38
PY-700165,SO-10705,2026-08-06 21:37,EUR,265.29,3.96
PY-700166,SO-10586,2026-08-06 21:49,EUR,46.42,0.90
PY-700167,SO-10727,2026-08-07 01:11,EUR,37.48,0.77
PY-700168,SO-10381,2026-08-07 01:17,EUR,146.22,2.30
PY-700169,SO-10227,2026-08-07 02:13,EUR,196.18,3.00
PY-700171,SO-10812,2026-08-07 02:55,EUR,208.41,3.17
PY-700170,SO-10292,2026-08-07 02:56,EUR,230.23,3.47
PY-700172,SO-10209,2026-08-07 03:25,EUR,209.52,3.18
PY-700173,SO-10643,2026-08-07 04:36,EUR,167.20,2.59
PY-700174,SO-10605,2026-08-07 04:43,EUR,418.78,6.11
PY-700175,SO-11113,2026-08-07 04:43,EUR,187.16,2.87
PY-700176,SO-10587,2026-08-07 05:18,EUR,182.68,2.81
PY-700177,SO-10257,2026-08-07 05:50,EUR,61.34,1.11
PY-700178,SO-10293,2026-08-07 06:03,EUR,71.35,1.25
PY-700179,SO-10089,2026-08-07 06:14,EUR,106.33,1.74
PY-700180,SO-10916,2026-08-07 07:40,EUR,201.39,3.07
PY-700181,SO-10169,2026-08-07 08:36,EUR,380.51,5.58
PY-700182,SO-10831,2026-08-07 08:40,EUR,169.95,2.63
PY-700183,SO-11132,2026-08-07 09:02,EUR,349.47,5.14
PY-700184,SO-10353,2026-08-07 09:43,EUR,374.58,5.49
PY-700185,SO-11111,2026-08-07 10:23,EUR,183.10,2.81
PY-700186,SO-10052,2026-08-07 12:51,EUR,155.44,2.43
PY-700187,SO-11131,2026-08-07 13:41,EUR,314.38,4.65
PY-700188,SO-10123,2026-08-07 14:38,EUR,311.03,4.60
PY-700189,SO-10770,2026-08-07 15:29,EUR,134.24,2.13
PY-700190,SO-11189,2026-08-07 16:49,EUR,147.71,2.32
PY-700191,SO-10221,2026-08-07 17:08,EUR,234.12,3.53
PY-700192,SO-10272,2026-08-07 17:31,EUR,92.16,1.54
PY-700194,SO-10501,2026-08-07 19:12,EUR,155.16,2.42
PY-700193,SO-10820,2026-08-07 19:27,EUR,78.26,1.35
PY-700195,SO-10375,2026-08-07 19:53,EUR,102.88,1.69
PY-700196,SO-10056,2026-08-07 20:24,EUR,251.01,3.76
PY-700197,SO-10611,2026-08-07 20:28,EUR,296.85,4.41
PY-700198,SO-11026,2026-08-07 20:50,EUR,91.09,1.53
PY-700199,SO-10076,2026-08-07 20:58,EUR,271.25,4.05
PY-700200,SO-10598,2026-08-07 21:21,EUR,49.88,0.95
PY-700201,SO-10877,2026-08-07 21:58,EUR,42.24,0.84
PY-700202,SO-10241,2026-08-07 23:05,EUR,35.55,0.75
PY-700203,SO-11008,2026-08-07 23:50,EUR,62.60,1.13
PY-700204,SO-10958,2026-08-08 02:16,EUR,323.84,4.78
PY-700205,SO-10157,2026-08-08 02:30,EUR,254.90,3.82
PY-701036,SO-10157,2026-08-08 02:30,EUR,254.90,3.82
PY-700206,SO-10436,2026-08-08 02:43,EUR,264.52,3.95
PY-700207,SO-10294,2026-08-08 02:44,EUR,415.59,6.07
PY-700208,SO-11144,2026-08-08 03:55,EUR,189.94,2.91
PY-700210,SO-10920,2026-08-08 06:35,EUR,397.16,5.99
PY-700209,SO-10151,2026-08-08 06:41,EUR,87.01,1.47
PY-700211,SO-10907,2026-08-08 08:25,EUR,165.42,2.57
PY-700212,SO-10550,2026-08-08 09:49,EUR,121.21,1.95
PY-700213,SO-10646,2026-08-08 10:32,EUR,42.49,0.84
PY-700215,SO-10430,2026-08-08 11:01,EUR,69.71,1.23
PY-700214,SO-10614,2026-08-08 11:16,EUR,328.66,4.85
PY-700216,SO-10426,2026-08-08 11:49,EUR,23.47,0.58
PY-700217,SO-10837,2026-08-08 13:16,EUR,342.49,5.04
PY-700218,SO-10552,2026-08-08 13:58,EUR,21.67,0.55
PY-700219,SO-10747,2026-08-08 14:30,EUR,345.25,5.08
PY-700221,SO-10726,2026-08-08 14:40,EUR,169.13,2.62
PY-700220,SO-10435,2026-08-08 15:01,EUR,300.97,4.46
PY-700222,SO-10425,2026-08-08 15:27,EUR,421.90,6.16
PY-700223,SO-10641,2026-08-08 17:02,EUR,450.80,6.56
PY-700224,SO-10932,2026-08-08 17:15,EUR,92.70,1.55
PY-700226,SO-10172,2026-08-08 17:41,EUR,311.13,4.61
PY-700225,SO-10367,2026-08-08 17:43,EUR,142.37,2.24
PY-700227,SO-10775,2026-08-08 18:17,EUR,373.59,5.48
PY-700229,SO-11003,2026-08-08 18:37,EUR,310.93,4.60
PY-700228,SO-10513,2026-08-08 18:40,EUR,260.30,3.89
PY-700230,SO-11054,2026-08-08 18:41,EUR,317.75,4.70
PY-700231,SO-10225,2026-08-08 19:21,EUR,359.31,5.28
PY-700232,SO-10718,2026-08-08 20:12,EUR,167.61,2.60
PY-700233,SO-10683,2026-08-08 20:24,EUR,459.40,6.68
PY-700234,SO-10575,2026-08-08 20:42,EUR,69.39,1.22
PY-700236,SO-10448,2026-08-08 22:04,EUR,252.90,3.79
PY-700235,SO-10275,2026-08-08 22:22,EUR,328.39,4.85
PY-700237,SO-10634,2026-08-09 01:00,EUR,277.73,4.14
PY-700238,SO-10699,2026-08-09 01:02,EUR,164.41,2.55
PY-700239,SO-10304,2026-08-09 01:44,EUR,140.56,2.22
PY-700240,SO-10043,2026-08-09 03:10,EUR,56.17,1.04
PY-700241,SO-10963,2026-08-09 03:29,EUR,381.22,5.59
PY-700242,SO-10940,2026-08-09 04:16,EUR,356.56,5.24
PY-700243,SO-10046,2026-08-09 05:50,EUR,464.01,6.75
PY-700244,SO-10358,2026-08-09 07:05,EUR,471.50,6.85
PY-700245,SO-10824,2026-08-09 07:47,EUR,366.74,5.38
PY-700246,SO-10638,2026-08-09 08:58,EUR,282.69,4.21
PY-700247,SO-10523,2026-08-09 09:03,EUR,59.92,1.09
PY-700248,SO-10657,2026-08-09 09:41,EUR,14.31,0.45
PY-700249,SO-10952,2026-08-09 10:39,EUR,203.20,3.09
PY-700250,SO-10602,2026-08-09 11:11,EUR,63.66,1.14
PY-700251,SO-11039,2026-08-09 11:43,EUR,123.90,1.98
PY-700252,SO-11172,2026-08-09 11:52,EUR,120.92,1.94
PY-700253,SO-11033,2026-08-09 12:35,EUR,169.95,2.63
PY-700254,SO-10030,2026-08-09 14:36,EUR,366.00,5.37
PY-700255,SO-11006,2026-08-09 15:35,EUR,58.33,1.07
PY-700256,SO-10179,2026-08-09 16:56,EUR,324.85,4.80
PY-700257,SO-10948,2026-08-09 17:17,EUR,37.56,0.78
PY-700258,SO-10316,2026-08-09 17:21,EUR,447.05,6.51
PY-700259,SO-10925,2026-08-09 17:30,EUR,352.88,5.19
PY-700260,SO-10713,2026-08-09 19:27,EUR,374.61,5.49
PY-700261,SO-10595,2026-08-09 19:27,EUR,176.65,2.72
PY-700262,SO-10420,2026-08-09 21:34,EUR,108.83,1.77
PY-700263,SO-10344,2026-08-09 21:46,EUR,474.97,6.90
PY-701035,SO-10344,2026-08-09 21:46,EUR,474.97,6.90
PY-700264,SO-10744,2026-08-09 21:54,EUR,107.26,1.75
PY-700265,SO-10986,2026-08-09 22:19,EUR,146.46,2.30
PY-700267,SO-10393,2026-08-09 22:40,EUR,419.36,6.12
PY-700266,SO-10582,2026-08-09 22:59,EUR,78.42,1.35
PY-700268,SO-10008,2026-08-10 00:56,EUR,310.07,4.59
PY-700270,SO-10162,2026-08-10 01:36,EUR,56.56,1.04
PY-700269,SO-10318,2026-08-10 01:39,EUR,234.46,3.53
PY-700271,SO-10955,2026-08-10 01:55,EUR,185.17,2.84
PY-700272,SO-10784,2026-08-10 02:05,EUR,205.09,3.12
PY-700273,SO-10668,2026-08-10 03:04,EUR,299.31,4.44
PY-700274,SO-10983,2026-08-10 03:43,EUR,79.86,1.37
PY-700275,SO-11036,2026-08-10 05:53,EUR,179.13,2.76
PY-700276,SO-10869,2026-08-10 06:35,EUR,394.38,5.77
PY-700277,SO-10232,2026-08-10 07:34,EUR,101.11,1.67
PY-700278,SO-11046,2026-08-10 09:20,EUR,414.31,6.05
PY-700279,SO-10714,2026-08-10 09:53,EUR,467.29,6.79
PY-700281,SO-10276,2026-08-10 10:36,EUR,223.35,3.38
PY-700280,SO-11037,2026-08-10 10:48,EUR,302.84,4.49
PY-700282,SO-10077,2026-08-10 10:50,EUR,419.58,6.12
PY-700283,SO-10790,2026-08-10 11:49,EUR,218.18,3.30
PY-700284,SO-10997,2026-08-10 11:57,EUR,67.32,1.19
PY-700285,SO-10750,2026-08-10 12:30,EUR,154.63,2.41
PY-700286,SO-10483,2026-08-10 13:15,EUR,22.82,0.57
PY-700287,SO-10562,2026-08-10 13:31,EUR,54.33,1.01
PY-701037,SO-19000,2026-08-10 14:00,EUR,186.08,1.10
PY-700288,SO-10421,2026-08-10 14:29,EUR,87.86,1.48
PY-700289,SO-10324,2026-08-10 15:03,EUR,176.99,2.73
PY-700291,SO-11188,2026-08-10 15:05,EUR,280.09,4.17
PY-700290,SO-10168,2026-08-10 15:13,EUR,136.75,2.16
PY-700292,SO-10901,2026-08-10 15:52,EUR,193.45,2.96
PY-700293,SO-10924,2026-08-10 16:51,EUR,147.78,2.32
PY-700294,SO-10694,2026-08-10 18:08,EUR,253.67,3.80
PY-700297,SO-11045,2026-08-10 18:19,EUR,462.06,6.72
PY-700296,SO-10326,2026-08-10 18:29,EUR,286.97,4.27
PY-700298,SO-10088,2026-08-10 18:32,EUR,419.24,6.12
PY-700295,SO-10194,2026-08-10 18:33,EUR,353.01,5.19
PY-700299,SO-10439,2026-08-10 21:11,EUR,99.24,1.64
PY-700300,SO-10756,2026-08-10 21:48,EUR,44.29,0.87
PY-700302,SO-11127,2026-08-10 21:52,EUR,327.39,4.83
PY-700301,SO-10004,2026-08-10 22:09,EUR,38.37,0.79
PY-700303,SO-10498,2026-08-10 22:23,EUR,377.38,5.53
PY-700304,SO-11020,2026-08-10 22:40,EUR,315.34,4.66
PY-700305,SO-10031,2026-08-10 23:44,EUR,173.11,2.67
PY-700306,SO-10794,2026-08-11 01:01,EUR,393.81,5.76
PY-700307,SO-10633,2026-08-11 01:41,EUR,103.44,1.70
PY-700308,SO-10863,2026-08-11 03:09,EUR,471.10,6.85
PY-700309,SO-10431,2026-08-11 04:26,EUR,307.23,4.55
PY-700310,SO-10217,2026-08-11 04:47,EUR,430.81,6.28
PY-700311,SO-10599,2026-08-11 05:11,EUR,440.85,6.42
PY-700313,SO-10592,2026-08-11 05:26,EUR,28.07,0.64
PY-700312,SO-10785,2026-08-11 05:27,EUR,175.83,2.71
PY-700314,SO-10712,2026-08-11 05:48,EUR,194.57,2.97
PY-700316,SO-10604,2026-08-11 05:54,EUR,218.10,3.30
PY-700315,SO-10202,2026-08-11 06:13,EUR,200.35,3.05
PY-700317,SO-10366,2026-08-11 06:20,EUR,50.63,0.96
PY-700319,SO-10071,2026-08-11 06:23,EUR,202.52,3.09
PY-700318,SO-10047,2026-08-11 06:35,EUR,204.70,3.12
PY-700320,SO-11147,2026-08-11 07:18,EUR,201.56,3.07
PY-700321,SO-10351,2026-08-11 08:00,EUR,390.12,5.71
PY-700322,SO-10994,2026-08-11 09:13,EUR,49.99,0.95
PY-700323,SO-11009,2026-08-11 09:22,EUR,270.19,4.03
PY-700324,SO-10636,2026-08-11 09:35,EUR,226.44,3.42
PY-700325,SO-10910,2026-08-11 10:51,EUR,350.87,5.16
PY-700326,SO-10766,2026-08-11 11:05,EUR,363.33,5.34
PY-700327,SO-10083,2026-08-11 11:23,EUR,163.25,2.54
PY-700328,SO-10740,2026-08-11 11:28,EUR,272.62,4.07
PY-700329,SO-10974,2026-08-11 12:11,EUR,222.50,3.38
PY-700330,SO-11107,2026-08-11 12:39,EUR,157.96,2.46
PY-700331,SO-10246,2026-08-11 12:51,EUR,298.50,4.43
PY-700332,SO-10432,2026-08-11 14:11,EUR,254.24,3.81
PY-700333,SO-11032,2026-08-11 14:44,EUR,59.27,1.08
PY-700334,SO-10269,2026-08-11 16:58,EUR,94.98,1.58
PY-700335,SO-10041,2026-08-11 17:24,EUR,174.16,2.69
PY-700336,SO-10074,2026-08-11 19:02,EUR,35.61,0.75
PY-700337,SO-10242,2026-08-11 19:14,EUR,114.48,1.85
PY-700338,SO-11159,2026-08-11 19:20,EUR,59.71,1.09
PY-700339,SO-10413,2026-08-11 20:48,EUR,51.07,0.96
PY-700340,SO-10805,2026-08-11 21:21,EUR,338.24,4.99
PY-700341,SO-10678,2026-08-11 21:46,EUR,316.10,4.68
PY-700342,SO-10147,2026-08-11 23:38,EUR,214.22,3.25
PY-700343,SO-10729,2026-08-12 00:40,EUR,247.81,3.72
PY-700344,SO-10244,2026-08-12 01:18,EUR,153.52,2.40
PY-700345,SO-10049,2026-08-12 03:13,EUR,24.96,0.60
PY-700346,SO-10247,2026-08-12 04:05,EUR,298.44,4.43
PY-700348,SO-10461,2026-08-12 06:47,EUR,473.97,6.89
PY-700347,SO-10387,2026-08-12 07:06,EUR,372.42,5.46
PY-700349,SO-10135,2026-08-12 07:35,EUR,103.99,1.71
PY-700350,SO-10277,2026-08-12 08:15,EUR,304.47,4.51
PY-700352,SO-11114,2026-08-12 08:50,EUR,382.10,5.60
PY-700351,SO-11077,2026-08-12 08:55,EUR,365.66,5.37
PY-700353,SO-10881,2026-08-12 09:57,EUR,126.52,2.02
PY-700354,SO-10897,2026-08-12 10:00,EUR,76.21,1.32
PY-700355,SO-10280,2026-08-12 10:44,EUR,41.78,0.83
PY-700356,SO-11079,2026-08-12 10:56,EUR,478.96,6.96
PY-700357,SO-11125,2026-08-12 11:45,EUR,315.77,4.67
PY-700359,SO-10148,2026-08-12 13:44,EUR,378.37,5.55
PY-700358,SO-10002,2026-08-12 14:08,EUR,107.34,1.75
PY-700360,SO-10879,2026-08-12 14:49,EUR,338.62,4.99
PY-700361,SO-10310,2026-08-12 14:54,EUR,52.81,0.99
PY-700362,SO-10212,2026-08-12 16:09,EUR,285.94,4.25
PY-700363,SO-10626,2026-08-12 16:37,EUR,241.71,3.63
PY-700364,SO-10372,2026-08-12 16:58,EUR,440.20,6.41
PY-700365,SO-10826,2026-08-12 17:10,EUR,325.84,4.81
PY-700366,SO-10017,2026-08-12 19:55,EUR,300.93,4.46
PY-700367,SO-10178,2026-08-12 20:34,EUR,302.00,4.48
PY-700369,SO-11116,2026-08-12 21:18,EUR,431.77,6.29
PY-700368,SO-10651,2026-08-12 21:29,EUR,395.07,5.78
PY-700370,SO-10759,2026-08-12 21:58,EUR,187.45,2.87
PY-700371,SO-10912,2026-08-12 23:00,EUR,62.42,1.12
PY-700372,SO-10354,2026-08-12 23:47,EUR,184.91,2.84
PY-700373,SO-10868,2026-08-13 00:07,EUR,150.38,2.36
PY-700374,SO-10496,2026-08-13 00:34,EUR,293.75,4.36
PY-700375,SO-10540,2026-08-13 01:22,EUR,219.29,3.32
PY-700376,SO-10307,2026-08-13 01:44,EUR,431.58,6.29
PY-700378,SO-10395,2026-08-13 01:48,EUR,202.60,3.09
PY-700377,SO-10544,2026-08-13 01:50,EUR,180.28,2.77
PY-700379,SO-10534,2026-08-13 02:55,EUR,235.26,3.54
PY-700380,SO-10398,2026-08-13 04:08,EUR,226.95,3.43
PY-700381,SO-10338,2026-08-13 06:18,EUR,347.01,5.11
PY-700382,SO-10215,2026-08-13 06:52,EUR,115.58,1.87
PY-700383,SO-10860,2026-08-13 07:45,EUR,85.78,1.45
PY-700384,SO-10055,2026-08-13 09:46,EUR,299.81,4.45
PY-700385,SO-10571,2026-08-13 11:17,EUR,360.04,5.29
PY-700386,SO-10053,2026-08-13 12:16,EUR,235.91,3.55
PY-700387,SO-10110,2026-08-13 13:57,EUR,300.21,4.45
PY-700388,SO-10069,2026-08-13 14:48,EUR,220.53,3.34
PY-700389,SO-10081,2026-08-13 15:13,EUR,369.39,5.42
PY-700391,SO-11196,2026-08-13 15:42,EUR,183.39,2.82
PY-700390,SO-11162,2026-08-13 15:45,EUR,386.47,5.66
PY-700392,SO-10378,2026-08-13 16:19,EUR,326.86,4.83
PY-700393,SO-11095,2026-08-13 17:22,EUR,39.79,0.81
PY-700394,SO-10645,2026-08-13 17:30,EUR,188.95,2.90
PY-700396,SO-10737,2026-08-13 17:38,EUR,75.42,1.31
PY-700395,SO-10830,2026-08-13 17:47,EUR,188.31,2.89
