Transaction Date,Type,Order,Card Brand,Card Source,Payout Status,Payout Date,Available On,Amount,Fee,Net
2026-03-01 20:34:53,charge,#7459,master,online,paid,2026-03-03,2026-03-03,62.95,1.19,61.76
2026-03-01 20:35:57,charge,#7460,visa,apple_pay,paid,2026-03-03,2026-03-03,279.00,4.44,274.56
2026-03-01 20:41:35,charge,#7463,visa,online,paid,2026-03-03,2026-03-03,168.00,2.77,165.23
2026-03-01 20:44:18,charge,#7464,visa,apple_pay,paid,2026-03-03,2026-03-03,836.00,12.79,823.21
2026-03-01 20:45:08,charge,#7465,master,apple_pay,paid,2026-03-03,2026-03-03,183.00,3.00,180.00
2026-03-01 20:46:29,charge,#7466,master,online,paid,2026-03-03,2026-03-03,187.95,3.07,184.88
2026-03-01 20:49:37,charge,#7467,master,online,paid,2026-03-03,2026-03-03,153.00,2.54,150.46
2026-03-01 21:05:30,charge,#7470,visa,online,paid,2026-03-03,2026-03-03,33.95,0.76,33.19
2026-03-01 21:05:53,refund,#5252,master,online,paid,2026-03-03,2026-03-03,-178.00,0.00,-178.00
2026-03-01 21:14:46,charge,#7471,master,online,paid,2026-03-03,2026-03-03,239.00,3.84,235.16
2026-03-01 21:28:07,charge,#7475,master,apple_pay,paid,2026-03-03,2026-03-03,23.95,0.61,23.34
2026-03-01 21:43:56,charge,#7478,visa,online,paid,2026-03-03,2026-03-03,23.95,0.61,23.34
2026-03-01 21:48:10,charge,#7479,visa,online,paid,2026-03-03,2026-03-03,89.00,1.58,87.42
2026-03-01 22:38:31,charge,#7483,master,online,paid,2026-03-03,2026-03-03,48.15,0.97,47.18
2026-03-01 23:07:39,charge,#7486,master,online,paid,2026-03-03,2026-03-03,136.80,2.30,134.50
2026-03-01 23:30:47,charge,#7487,visa,apple_pay,paid,2026-03-03,2026-03-03,42.95,0.89,42.06
2026-03-01 23:54:03,charge,#7488,visa,online,paid,2026-03-03,2026-03-03,571.00,8.82,562.18
2026-03-02 00:46:49,refund,#6664,master,online,paid,2026-03-04,2026-03-04,-299.00,0.00,-299.00
2026-03-02 01:11:23,charge,#7491,visa,apple_pay,paid,2026-03-04,2026-03-04,218.00,3.52,214.48
2026-03-02 01:46:05,refund,#5386,visa,online,paid,2026-03-04,2026-03-04,-30.10,0.00,-30.10
2026-03-02 05:40:32,charge,#7493,master,online,paid,2026-03-04,2026-03-04,418.00,6.52,411.48
2026-03-02 06:35:56,charge,#7494,visa,google_pay,paid,2026-03-04,2026-03-04,329.00,5.18,323.82
2026-03-02 07:17:10,charge,#7496,visa,online,paid,2026-03-04,2026-03-04,516.00,7.99,508.01
2026-03-02 07:56:27,charge,#7497,master,online,paid,2026-03-04,2026-03-04,368.00,5.77,362.23
2026-03-02 08:33:04,charge,#7498,master,online,paid,2026-03-04,2026-03-04,308.00,4.87,303.13
2026-03-02 12:16:41,charge,#7504,american_express,online,paid,2026-03-04,2026-03-04,208.00,6.28,201.72
2026-03-02 12:37:38,charge,#7506,visa,online,paid,2026-03-04,2026-03-04,105.95,1.84,104.11
2026-03-02 12:41:11,charge,#7507,visa,online,paid,2026-03-04,2026-03-04,109.00,1.88,107.12
2026-03-02 14:42:10,charge,#7509,visa,apple_pay,paid,2026-03-04,2026-03-04,458.00,7.12,450.88
2026-03-02 15:34:21,charge,#7514,master,online,paid,2026-03-04,2026-03-04,247.95,3.97,243.98
2026-03-02 15:53:04,charge,#7515,master,online,paid,2026-03-04,2026-03-04,29.95,0.70,29.25
2026-03-02 15:57:30,charge,#7517,visa,online,paid,2026-03-04,2026-03-04,291.00,4.62,286.38
2026-03-02 16:25:41,charge,#7520,master,online,paid,2026-03-04,2026-03-04,57.00,1.10,55.90
2026-03-02 17:07:39,charge,#7522,visa,apple_pay,paid,2026-03-04,2026-03-04,119.00,2.04,116.96
2026-03-02 17:11:45,refund,#6575,american_express,online,paid,2026-03-04,2026-03-04,-99.00,0.00,-99.00
2026-03-02 17:57:19,charge,#7525,visa,online,paid,2026-03-04,2026-03-04,504.00,7.81,496.19
2026-03-02 18:01:15,charge,#7526,visa,online,paid,2026-03-04,2026-03-04,259.95,4.15,255.80
2026-03-02 19:01:09,charge,#7528,master,online,paid,2026-03-04,2026-03-04,31.95,0.73,31.22
2026-03-02 19:01:28,charge,#7529,visa,online,paid,2026-03-04,2026-03-04,109.00,1.88,107.12
2026-03-02 19:35:37,charge,#7530,visa,online,paid,2026-03-04,2026-03-04,278.00,4.42,273.58
2026-03-02 19:52:13,charge,#7532,visa,online,paid,2026-03-04,2026-03-04,224.00,3.61,220.39
2026-03-02 20:41:52,charge,#7540,visa,online,paid,2026-03-04,2026-03-04,73.95,1.36,72.59
2026-03-02 20:44:26,charge,#7541,master,online,paid,2026-03-04,2026-03-04,98.00,1.72,96.28
2026-03-02 22:12:17,charge,#7543,visa,online,paid,2026-03-04,2026-03-04,99.00,1.74,97.26
2026-03-02 22:36:06,charge,#7546,master,online,paid,2026-03-04,2026-03-04,38.95,0.83,38.12
2026-03-03 00:32:58,charge,#7549,master,apple_pay,paid,2026-03-05,2026-03-05,38.95,0.83,38.12
2026-03-03 01:44:53,charge,#7551,visa,online,paid,2026-03-05,2026-03-05,378.00,5.92,372.08
2026-03-03 02:10:05,refund,#6180,visa,online,paid,2026-03-05,2026-03-05,-76.95,0.00,-76.95
2026-03-03 02:47:11,charge,#7552,visa,online,paid,2026-03-05,2026-03-05,101.95,1.78,100.17
2026-03-03 03:13:54,charge,#7553,american_express,online,paid,2026-03-05,2026-03-05,189.00,5.73,183.27
2026-03-03 04:57:15,refund,#6680,visa,online,paid,2026-03-05,2026-03-05,-27.20,0.00,-27.20
2026-03-03 09:00:50,charge,#7554,master,apple_pay,paid,2026-03-05,2026-03-05,178.00,2.92,175.08
2026-03-03 09:05:27,charge,#7555,master,online,paid,2026-03-05,2026-03-05,58.95,1.13,57.82
2026-03-03 09:50:21,charge,#7560,visa,apple_pay,paid,2026-03-05,2026-03-05,266.00,4.24,261.76
2026-03-03 09:53:21,charge,#7560,visa,apple_pay,paid,2026-03-05,2026-03-05,266.00,4.24,261.76
2026-03-03 09:58:29,charge,#7561,master,apple_pay,paid,2026-03-05,2026-03-05,29.95,0.70,29.25
2026-03-03 10:36:28,charge,#7564,master,google_pay,paid,2026-03-05,2026-03-05,138.00,2.32,135.68
2026-03-03 11:36:21,charge,#7565,american_express,online,paid,2026-03-05,2026-03-05,31.95,1.18,30.77
2026-03-03 11:42:33,charge,#7567,visa,google_pay,paid,2026-03-05,2026-03-05,38.95,0.83,38.12
2026-03-03 11:56:18,charge,#7569,master,online,paid,2026-03-05,2026-03-05,89.00,1.58,87.42
2026-03-03 12:42:09,charge,#7574,master,apple_pay,paid,2026-03-05,2026-03-05,74.00,1.36,72.64
2026-03-03 13:05:40,charge,#7576,visa,online,paid,2026-03-05,2026-03-05,144.00,2.41,141.59
2026-03-03 13:43:04,charge,#7579,master,google_pay,paid,2026-03-05,2026-03-05,495.00,7.68,487.32
2026-03-03 13:53:11,charge,#7580,master,google_pay,paid,2026-03-05,2026-03-05,338.00,5.32,332.68
2026-03-03 14:42:15,charge,#7583,visa,online,paid,2026-03-05,2026-03-05,131.95,2.23,129.72
2026-03-03 16:04:13,charge,#7591,master,online,paid,2026-03-05,2026-03-05,29.95,0.70,29.25
2026-03-03 16:36:15,charge,#7596,visa,apple_pay,paid,2026-03-05,2026-03-05,30.45,0.71,29.74
2026-03-03 17:00:24,charge,#7598,master,online,paid,2026-03-05,2026-03-05,49.95,1.00,48.95
2026-03-03 17:16:57,charge,#7599,visa,google_pay,paid,2026-03-05,2026-03-05,181.60,2.97,178.63
2026-03-03 17:24:21,charge,#7600,american_express,online,paid,2026-03-05,2026-03-05,103.95,3.26,100.69
2026-03-03 17:39:06,refund,#5595,visa,online,paid,2026-03-05,2026-03-05,-182.00,0.00,-182.00
2026-03-03 18:08:32,charge,#7602,master,online,paid,2026-03-05,2026-03-05,83.70,1.51,82.19
2026-03-03 18:22:22,refund,#7190,american_express,online,paid,2026-03-05,2026-03-05,-207.00,0.00,-207.00
2026-03-03 18:24:58,charge,#7604,visa,online,paid,2026-03-05,2026-03-05,617.00,9.50,607.50
2026-03-03 19:02:49,charge,#7607,visa,online,paid,2026-03-05,2026-03-05,38.95,0.83,38.12
2026-03-03 19:11:46,charge,#7608,master,online,paid,2026-03-05,2026-03-05,579.95,8.95,571.00
2026-03-03 20:20:44,charge,#7615,visa,online,paid,2026-03-05,2026-03-05,99.95,1.75,98.20
2026-03-03 20:21:48,charge,#7616,visa,online,paid,2026-03-05,2026-03-05,196.00,3.19,192.81
2026-03-03 20:57:47,charge,#7620,visa,apple_pay,paid,2026-03-05,2026-03-05,33.95,0.76,33.19
2026-03-03 21:20:34,charge,#7622,visa,online,paid,2026-03-05,2026-03-05,33.95,0.76,33.19
2026-03-03 21:27:25,charge,#7624,master,google_pay,paid,2026-03-05,2026-03-05,98.00,1.72,96.28
2026-03-03 22:01:08,charge,#7625,visa,apple_pay,paid,2026-03-05,2026-03-05,156.95,2.60,154.35
2026-03-03 22:36:26,charge,#7626,master,online,paid,2026-03-05,2026-03-05,31.95,0.73,31.22
2026-03-03 22:51:12,charge,#7627,master,online,paid,2026-03-05,2026-03-05,529.00,8.18,520.82
2026-03-03 23:03:13,refund,#5636,visa,online,paid,2026-03-05,2026-03-05,-79.00,0.00,-79.00
2026-03-03 23:22:04,charge,#7630,visa,online,paid,2026-03-05,2026-03-05,173.00,2.84,170.16
2026-03-04 03:21:59,charge,#7633,visa,online,paid,2026-03-06,2026-03-06,77.95,1.42,76.53
2026-03-04 06:25:25,charge,#7635,visa,google_pay,paid,2026-03-06,2026-03-06,249.00,3.98,245.02
2026-03-04 07:51:02,charge,#7637,master,apple_pay,paid,2026-03-06,2026-03-06,88.00,1.57,86.43
2026-03-04 08:52:36,charge,#7641,visa,google_pay,paid,2026-03-06,2026-03-06,201.95,3.28,198.67
2026-03-04 10:30:25,charge,#7643,visa,online,paid,2026-03-06,2026-03-06,23.95,0.61,23.34
2026-03-04 11:28:33,charge,#7647,master,online,paid,2026-03-06,2026-03-06,152.80,2.54,150.26
2026-03-04 11:57:45,refund,#6971,master,online,paid,2026-03-06,2026-03-06,-29.00,0.00,-29.00
2026-03-04 12:07:38,charge,#7649,master,apple_pay,paid,2026-03-06,2026-03-06,119.00,2.04,116.96
2026-03-04 12:08:27,charge,#7650,visa,online,paid,2026-03-06,2026-03-06,33.95,0.76,33.19
2026-03-04 12:20:21,charge,#7652,visa,apple_pay,paid,2026-03-06,2026-03-06,673.00,10.34,662.66
2026-03-04 12:38:24,charge,#7655,visa,online,paid,2026-03-06,2026-03-06,68.95,1.28,67.67
2026-03-04 12:39:54,charge,#7656,visa,online,paid,2026-03-06,2026-03-06,487.00,7.56,479.44
2026-03-04 12:51:35,charge,#7658,master,online,paid,2026-03-06,2026-03-06,313.00,4.94,308.06
2026-03-04 13:15:51,charge,#7659,master,online,paid,2026-03-06,2026-03-06,33.95,0.76,33.19
2026-03-04 13:21:19,charge,#7661,visa,apple_pay,paid,2026-03-06,2026-03-06,228.00,3.67,224.33
2026-03-04 13:35:38,charge,#7663,visa,apple_pay,paid,2026-03-06,2026-03-06,23.95,0.61,23.34
2026-03-04 13:48:12,charge,#7665,visa,online,paid,2026-03-06,2026-03-06,31.95,0.73,31.22
2026-03-04 13:55:46,charge,#7666,visa,online,paid,2026-03-06,2026-03-06,31.95,0.73,31.22
2026-03-04 14:23:12,charge,#7667,american_express,online,paid,2026-03-06,2026-03-06,29.95,1.12,28.83
2026-03-04 14:27:16,charge,#7668,visa,google_pay,paid,2026-03-06,2026-03-06,336.00,5.29,330.71
2026-03-04 14:51:13,charge,#7670,american_express,online,paid,2026-03-06,2026-03-06,38.95,1.38,37.57
2026-03-04 15:18:43,charge,#7672,visa,online,paid,2026-03-06,2026-03-06,31.95,0.73,31.22
2026-03-04 16:26:29,charge,#7677,master,online,paid,2026-03-06,2026-03-06,506.00,7.84,498.16
2026-03-04 16:35:46,charge,#7678,american_express,online,paid,2026-03-06,2026-03-06,123.00,3.82,119.18
2026-03-04 16:50:35,charge,#7679,visa,online,paid,2026-03-06,2026-03-06,143.00,2.40,140.60
2026-03-04 16:57:59,charge,#7680,visa,online,paid,2026-03-06,2026-03-06,33.95,0.76,33.19
2026-03-04 17:07:22,charge,#7681,visa,online,paid,2026-03-06,2026-03-06,174.00,2.86,171.14
2026-03-04 17:09:59,charge,#7682,visa,online,paid,2026-03-06,2026-03-06,73.95,1.36,72.59
2026-03-04 17:18:35,charge,#7683,master,online,paid,2026-03-06,2026-03-06,278.00,4.42,273.58
2026-03-04 17:44:59,charge,#7685,visa,online,paid,2026-03-06,2026-03-06,250.20,4.00,246.20
2026-03-04 18:02:21,charge,#7686,visa,online,paid,2026-03-06,2026-03-06,61.95,1.18,60.77
2026-03-04 18:21:45,charge,#7687,master,online,paid,2026-03-06,2026-03-06,282.00,4.48,277.52
2026-03-04 18:22:53,charge,#7688,visa,online,paid,2026-03-06,2026-03-06,76.00,1.39,74.61
2026-03-04 18:29:59,charge,#7689,visa,online,paid,2026-03-06,2026-03-06,42.95,0.89,42.06
2026-03-04 18:33:23,charge,#7690,master,google_pay,paid,2026-03-06,2026-03-06,162.00,2.68,159.32
2026-03-04 19:32:52,refund,#6239,master,online,paid,2026-03-06,2026-03-06,-9.86,0.00,-9.86
2026-03-04 19:52:27,charge,#7694,visa,online,paid,2026-03-06,2026-03-06,19.00,0.54,18.46
2026-03-04 20:32:14,charge,#7697,master,google_pay,paid,2026-03-06,2026-03-06,358.00,5.62,352.38
2026-03-04 20:50:59,charge,#7699,american_express,online,paid,2026-03-06,2026-03-06,119.15,3.71,115.44
2026-03-04 21:20:09,charge,#7702,visa,online,paid,2026-03-06,2026-03-06,31.95,0.73,31.22
2026-03-04 21:40:53,charge,#7704,visa,online,paid,2026-03-06,2026-03-06,302.00,4.78,297.22
2026-03-04 21:47:36,refund,#6952,visa,online,paid,2026-03-06,2026-03-06,-80.78,0.00,-80.78
2026-03-04 21:57:58,charge,#7706,master,google_pay,paid,2026-03-06,2026-03-06,614.00,9.46,604.54
2026-03-05 04:02:46,refund,#5643,american_express,online,paid,2026-03-09,2026-03-09,-90.00,0.00,-90.00
2026-03-05 04:07:22,charge,#7715,master,online,paid,2026-03-09,2026-03-09,23.95,0.61,23.34
2026-03-05 05:41:43,charge,#7716,visa,google_pay,paid,2026-03-09,2026-03-09,453.60,7.05,446.55
2026-03-05 07:05:04,refund,#5671,visa,online,paid,2026-03-09,2026-03-09,-29.95,0.00,-29.95
2026-03-05 07:12:47,charge,#7717,visa,online,paid,2026-03-09,2026-03-09,28.95,0.68,28.27
2026-03-05 07:20:40,charge,#7718,visa,online,paid,2026-03-09,2026-03-09,57.95,1.12,56.83
2026-03-05 07:23:12,charge,#7720,visa,online,paid,2026-03-09,2026-03-09,390.00,6.10,383.90
2026-03-05 07:30:45,charge,#7721,master,apple_pay,paid,2026-03-09,2026-03-09,498.00,7.72,490.28
2026-03-05 07:36:47,charge,#7722,master,online,paid,2026-03-09,2026-03-09,249.00,3.98,245.02
2026-03-05 07:44:59,charge,#7723,master,online,paid,2026-03-09,2026-03-09,39.95,0.85,39.10
2026-03-05 08:10:21,charge,#7724,master,online,paid,2026-03-09,2026-03-09,33.95,0.76,33.19
2026-03-05 08:17:43,charge,#7725,master,apple_pay,paid,2026-03-09,2026-03-09,138.00,2.32,135.68
2026-03-05 09:14:17,charge,#7727,master,google_pay,paid,2026-03-09,2026-03-09,400.00,6.25,393.75
2026-03-05 09:38:57,charge,#7730,master,online,paid,2026-03-09,2026-03-09,178.00,2.92,175.08
2026-03-05 09:49:50,charge,#7731,visa,apple_pay,paid,2026-03-09,2026-03-09,216.00,3.49,212.51
2026-03-05 09:58:28,charge,#7732,visa,apple_pay,paid,2026-03-09,2026-03-09,109.00,1.88,107.12
2026-03-05 10:05:32,charge,#7733,master,online,paid,2026-03-09,2026-03-09,42.95,0.89,42.06
2026-03-05 10:06:49,charge,#7734,visa,online,paid,2026-03-09,2026-03-09,341.00,5.36,335.64
2026-03-05 11:29:27,refund,#6985,master,online,paid,2026-03-09,2026-03-09,-384.00,0.00,-384.00
2026-03-05 11:59:39,charge,#7736,visa,online,paid,2026-03-09,2026-03-09,123.00,2.10,120.90
2026-03-05 12:18:28,charge,#7739,visa,apple_pay,paid,2026-03-09,2026-03-09,42.95,0.89,42.06
2026-03-05 12:19:08,charge,#7740,visa,google_pay,paid,2026-03-09,2026-03-09,72.00,1.33,70.67
2026-03-05 12:50:21,refund,#7560,visa,apple_pay,paid,2026-03-09,2026-03-09,-266.00,0.00,-266.00
2026-03-05 12:57:24,charge,#7742,american_express,apple_pay,paid,2026-03-09,2026-03-09,250.20,7.51,242.69
2026-03-05 13:24:22,charge,#7745,visa,online,paid,2026-03-09,2026-03-09,208.00,3.37,204.63
2026-03-05 14:11:20,charge,#7746,visa,google_pay,paid,2026-03-09,2026-03-09,93.00,1.64,91.36
2026-03-05 14:17:38,charge,#7747,master,online,paid,2026-03-09,2026-03-09,33.95,0.76,33.19
2026-03-05 14:33:12,charge,#7749,master,online,paid,2026-03-09,2026-03-09,38.95,0.83,38.12
2026-03-05 15:24:59,charge,#7752,visa,online,paid,2026-03-09,2026-03-09,28.95,0.68,28.27
2026-03-05 15:40:20,charge,#7756,master,online,paid,2026-03-09,2026-03-09,99.00,1.74,97.26
2026-03-05 16:27:11,charge,#7762,master,google_pay,paid,2026-03-09,2026-03-09,138.00,2.32,135.68
2026-03-05 16:31:42,charge,#7763,master,online,paid,2026-03-09,2026-03-09,119.00,2.04,116.96
2026-03-05 17:16:30,charge,#7765,visa,apple_pay,paid,2026-03-09,2026-03-09,89.00,1.58,87.42
2026-03-05 17:34:27,charge,#7766,master,online,paid,2026-03-09,2026-03-09,178.00,2.92,175.08
2026-03-05 18:09:17,charge,#7768,visa,online,paid,2026-03-09,2026-03-09,266.00,4.24,261.76
2026-03-05 18:31:18,charge,#7769,visa,google_pay,paid,2026-03-09,2026-03-09,100.00,1.75,98.25
2026-03-05 19:10:09,charge,#7774,visa,online,paid,2026-03-09,2026-03-09,311.00,4.92,306.08
2026-03-05 19:27:12,charge,#7776,visa,online,paid,2026-03-09,2026-03-09,39.95,0.85,39.10
2026-03-05 20:20:00,charge,#7779,visa,apple_pay,paid,2026-03-09,2026-03-09,323.00,5.10,317.90
2026-03-05 21:32:35,charge,#7783,visa,apple_pay,paid,2026-03-09,2026-03-09,29.95,0.70,29.25
2026-03-05 21:43:12,charge,#7785,master,online,paid,2026-03-09,2026-03-09,28.95,0.68,28.27
2026-03-05 21:50:48,refund,#6917,visa,online,paid,2026-03-09,2026-03-09,-66.95,0.00,-66.95
2026-03-05 22:10:22,charge,#7787,visa,online,paid,2026-03-09,2026-03-09,163.00,2.70,160.30
2026-03-05 22:10:57,charge,#7788,visa,online,paid,2026-03-09,2026-03-09,240.95,3.86,237.09
2026-03-05 22:11:14,charge,#7789,visa,online,paid,2026-03-09,2026-03-09,368.00,5.77,362.23
2026-03-05 22:57:24,charge,#7791,visa,online,paid,2026-03-09,2026-03-09,575.00,8.88,566.12
2026-03-05 23:05:02,refund,#6087,master,online,paid,2026-03-09,2026-03-09,-370.95,0.00,-370.95
2026-03-05 23:52:00,charge,#7793,american_express,online,paid,2026-03-09,2026-03-09,329.00,9.79,319.21
2026-03-06 00:16:48,charge,#7795,american_express,apple_pay,paid,2026-03-10,2026-03-10,154.00,4.72,149.28
2026-03-06 01:08:35,refund,#6803,american_express,online,paid,2026-03-10,2026-03-10,-33.95,0.00,-33.95
2026-03-06 01:47:59,refund,#7133,master,online,paid,2026-03-10,2026-03-10,-249.00,0.00,-249.00
2026-03-06 08:02:40,charge,#7798,visa,online,paid,2026-03-10,2026-03-10,38.95,0.83,38.12
2026-03-06 08:12:10,charge,#7800,master,online,paid,2026-03-10,2026-03-10,42.95,0.89,42.06
2026-03-06 09:03:48,charge,#7803,visa,online,paid,2026-03-10,2026-03-10,410.00,6.40,403.60
2026-03-06 11:14:05,charge,#7808,master,online,paid,2026-03-10,2026-03-10,32.15,0.73,31.42
2026-03-06 12:28:37,charge,#7812,visa,online,paid,2026-03-10,2026-03-10,203.00,3.30,199.70
2026-03-06 13:17:17,charge,#7815,visa,online,paid,2026-03-10,2026-03-10,31.05,0.72,30.33
2026-03-06 13:28:45,charge,#7816,master,online,paid,2026-03-10,2026-03-10,302.40,4.79,297.61
2026-03-06 13:41:04,charge,#7817,visa,online,paid,2026-03-10,2026-03-10,98.00,1.72,96.28
2026-03-06 14:16:57,refund,#7496,visa,online,paid,2026-03-10,2026-03-10,-516.00,0.00,-516.00
2026-03-06 14:17:22,refund,#6225,visa,online,paid,2026-03-10,2026-03-10,-189.00,0.00,-189.00
2026-03-06 14:33:06,charge,#7821,american_express,online,paid,2026-03-10,2026-03-10,503.95,14.86,489.09
2026-03-06 14:50:33,charge,#7822,visa,online,paid,2026-03-10,2026-03-10,99.00,1.74,97.26
2026-03-06 15:05:26,charge,#7823,visa,online,paid,2026-03-10,2026-03-10,197.00,3.20,193.80
2026-03-06 15:27:13,charge,#7825,master,online,paid,2026-03-10,2026-03-10,38.95,0.83,38.12
2026-03-06 15:29:59,charge,#7826,master,online,paid,2026-03-10,2026-03-10,179.00,2.94,176.06
2026-03-06 15:54:43,charge,#7829,visa,online,paid,2026-03-10,2026-03-10,114.00,1.96,112.04
2026-03-06 16:40:36,charge,#7831,american_express,apple_pay,paid,2026-03-10,2026-03-10,367.00,10.89,356.11
2026-03-06 16:59:41,charge,#7832,master,online,paid,2026-03-10,2026-03-10,838.00,12.82,825.18
2026-03-06 17:00:56,charge,#7833,visa,online,paid,2026-03-10,2026-03-10,249.00,3.98,245.02
2026-03-06 17:57:14,charge,#7836,master,apple_pay,paid,2026-03-10,2026-03-10,46.95,0.95,46.00
2026-03-06 17:59:27,refund,#7029,visa,apple_pay,paid,2026-03-10,2026-03-10,-352.75,0.00,-352.75
2026-03-06 18:17:43,charge,#7838,master,online,paid,2026-03-10,2026-03-10,157.00,2.60,154.40
2026-03-06 18:21:49,charge,#7839,visa,online,paid,2026-03-10,2026-03-10,150.95,2.51,148.44
